"","geoid2","date","month","day","year","elapsed","country","continent","population_2019","cases","deaths","date_rep","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","pop_below14_2018","migration_share","oil","life_exp_2017","soc_insur_cov","soc_contrib","soc_safety","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","pos_gov_lr","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","woman_leader","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","infections_mers","infections_sars","infections_ebola","infection","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","scode","state_fragility","effect","legit","seceff","secleg","poleff","polleg","ecoeff","ecoleg","soceff","socleg","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","metro_area","iso_3166_2_code","census_fips_code","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_cumul","precip_cumul","weeknumber","excess_deaths_weekly","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"Aruba","ABW","2021-06-21","6","21","2021","538","Aruba","America","","0","0","2021-06-21","11108","107","4.682","107","0","Latin America & Caribbean","1.058","","","","0.106","6093","8252","12.522","135529098.581","588.028","","17.802","34.762","0","76.01","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","99.2","","","","","","","","","","","","","","","","","","","","","","","","","","13.553","-2.246","6.377","","","","","","","","","","","","","","-6.4","","","","","","","","","","","","","25_2021","","","","","1010.912","6.92","","","ABW","6","532","160","378"
"Afghanistan","AFG","2021-06-21","6","21","2021","538","Afghanistan","Asia","38928341","14281","681","2021-06-21","105749","4293","8.365","3612","0.133","South Asia","-1.457","49.236","","2.19","37.172","445283","515559","14.359","119435105.715","56.938","10.792","43.09","1.176","0.001","64.13","","0.601","8.821","-1","31.4","0.744","0.676","1","0.015","0.865","-0.516","0.142","0.423","0.139","0.581","0","","","","0","-0.56","0","","","","1662","1329","1329","0.001","","","","0","0.23","0.769","0.272","0.751","2.292","","32.3","3.889","44.8","29.5","50","31.7","25.9","39.2","8","0.5","21","23.6","AFG","20","10","10","3","3","1","1","4","3","2","3","0","2.585","3.616","4.042","","","","","","","","","","","","","","18.6","","","","","","","","","","","13.196","30.656","25_2021","","","","","115.489","4.758","","","AFG","76","462","104","434"
"Angola","AGO","2021-06-21","6","21","2021","538","Angola","Africa","","0","0","2021-06-21","37678","859","6.757","859","0","Sub-Saharan Africa","-1.052","66.378","39.6","6.934","30.81","304406","378459","14.232","-6456076413.12","24.713","25.233","46.809","0.427","15.444","60.379","","5.002","","-2","","0.748","0.699","4","0.62","1.508","1.383","-1.173","0.603","-0.541","0.717","0.333","","","","0","-0.62","0","1","1","","895","895","895","0.001","","","","0","0.151","0.787","0.628","0.756","1.294","","25.2","4.413","17.9","14.4","80","66","33.4","39.4","82","0.6","10.9","21.7","ANG","16","7","9","2","2","1","1","2","3","2","3","1","2.216","3.428","3.207","","","","","","","","","","","","","","-5.8","","","","","","","","","","","21.937","89.617","25_2021","","","","","27.881","3.363","","","AGO","20","518","104","434"
"Anguilla","AIA","2021-06-21","6","21","2021","538","Anguilla","America","","0","0","2021-06-21","109","0","0","0","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.054","118.393","25_2021","","","","","","","","","AIA","265","273","",""
"Albania","ALB","2021-06-21","6","21","2021","538","Albania","Europe","","0","0","2021-06-21","132490","2454","7.806","2454","0","Europe & Central Asia","0.115","76.801","","13.601","2.866","189497","204463","12.622","1204383363.605","104.612","","17.673","1.989","1.368","78.333","36.255","21.387","19.082","9","38.4","0.314","0.533","2","0.1","-0.664","0.415","1.265","0.737","2.143","0.655","0.667","-1.528","","","0","0.209","0","3","3","","769","471","471","0.002","","","","0","0.43","0.22","0.472","0.097","2.168","23.6","52.9","2.863","74.3","128.6","290","97.2","75.4","97.7","314","0.8","35.9","52","ALB","1","1","0","0","0","0","0","1","0","0","0","1","13.744","1.053","4.65","","","","","","","","","","","","","","","","","","","","","","","","","12.42","82.1","25_2021","","","","","856.133","6.754","","","ALB","13","525","27","511"
"Andorra","AND","2021-06-21","6","21","2021","538","Andorra","Europe","","0","0","2021-06-21","13864","127","4.852","127","0","Europe & Central Asia","1.945","","","","0.077","","","","","163.843","","","59.714","","","","","","","30.686","","","","","","","","","","","","","25.574","49.096","0","","0","","","","","1122","1122","0.001","","","","0","","0.714","0.233","","","","30.5","4.197","14.2","369","250","100","94.7","100","2446","0.9","9.2","30.5","","","","","","","","","","","","","","","-2.564","5.099","","","","","","","","","","","","","","","","","","","","","","","","","8.483","84.106","25_2021","","","","","1649.222","7.409","","","AND","13","525","27","511"
"United Arab Emirates","ARE","2021-06-21","6","21","2021","538","United Arab Emirates","Asia","9890400","14043","31","2021-06-21","612029","1757","7.472","1726","0.016","Middle East & North Africa","1.431","159.729","","66.968","9.631","68980","35562","18.375","10385286000","135.609","59.972","14.604","88.404","13.046","77.647","","6.81","","-8","","0.211","0.422","0","0","-2.861","-1.882","1.815","0.376","1.888","0.124","0","-1.297","","","0","-0.498","0","1","1","","","","2000","0","87","","","0","0.097","0.625","0.331","0.737","0.348","100","46.7","3.288","31.6","155.8","120","90","70.3","100","1845","0.9","22.9","49.7","UAE","5","1","4","0","1","1","0","0","3","0","0","","1.085","2.265","4.91","","","","","","","","","","","","","","-22.8","","","","","","","","","","","27.707","7.23","25_2021","","","","","182.433","5.212","","","ARE","55","483","97","441"
"Argentina","ARG","2021-06-21","6","21","2021","538","Argentina","America","","0","0","2021-06-21","4277332","89490","11.402","89490","0","Latin America & Caribbean","0.026","30.7","29.9","22.746","44.495","2021288","2925564","16.71","11872856662.765","16.259","43.008","24.761","4.805","0.727","76.372","31.377","34.362","23.584","9","38.325","0.059","0.115","1","0.015","2.067","1.649","0.991","0.824","0.291","0.367","0","0.568","20.104","22.601","0","0.738","0","4","4","599","1325","599","599","0.002","","","","0","0.67","0.255","0.224","0.255","2.955","96.8","58.6","3.433","74.9","390.7","500","99.1","68.1","94.8","1140","0.8","54.9","50.6","ARG","3","1","2","0","0","0","1","1","1","0","0","1","11.118","3.795","2.789","","","","","","","","","","","","","","-53","","","","","","","","","","","15.639","51.744","25_2021","","","","","2011.26","7.607","","","ARG","6","532","27","511"
"Armenia","ARM","2021-06-21","6","21","2021","538","Armenia","Europe","2963234","530","11","2021-06-21","224253","4499","8.412","4488","0.006","Europe & Central Asia","-0.024","91.115","29.2","12.715","2.952","130888","201290","","254146163.557","103.68","36.599","20.633","6.336","0","74.797","55.057","0.726","35.08","7","36.737","0.041","0.081","2","0.014","1.422","1.127","1.742","0.894","1.448","0.227","0","1.795","11.023","39.639","0","0.209","0","2","2","","1817","1368","1368","0.001","","","","0","0.233","0.127","0.458","0.134","1.774","100","50.2","2.892","60.8","280.3","420","99.7","70.7","91.6","144","0.8","25.7","55.5","ARM","6","3","3","0","1","1","0","2","2","0","0","1","11.253","1.082","4.641","","","","","","","","","","","","","","","","","","","","","","","","","7.548","43.444","25_2021","","","","","1524.167","7.33","","","ARM","76","462","104","434"
"Antigua & Barbuda","ATG","2021-06-21","6","21","2021","538","Antigua & Barbuda","America","","0","0","2021-06-21","1263","42","3.761","42","0","Latin America & Caribbean","-0.006","","","21.116","0.096","3904","4570","13.271","135127898.77","218.832","","22.081","30.586","0","76.752","","","","","","","","","","","","","","","","","","","","0","","0","","","","","1115","1115","0.001","","","","0","","0.164","0.684","","","51.1","29","3.271","19.1","15.8","380","99","69.8","87.5","591","0.8","7.4","21.7","","","","","","","","","","","","","","8.801","-2.34","5.388","","","","","","","","","","","","","","-3","","","","","","","","","","","26.507","179.085","25_2021","","","","","436.2","6.08","","","ATG","20","518","342","196"
"Australia","AUS","2021-06-21","6","21","2021","538","Australia","Oceania","25499881","83","0","2021-06-21","30331","910","6.815","910","0","East Asia & Pacific","1.596","43.192","","49.576","24.983","1837298","2074185","18.142","61079477672.664","3.248","60.892","19.191","28.218","0.21","82.5","","","","10","32.471","0.282","0.495","1","0.02","1.048","1.049","1.383","0.898","2.861","0.041","0","","48.937","30.454","0","0.514","0","6","6","811","","811","811","0.001","","6","","0","0.835","0.093","0.821","0.149","3.814","100","75.5","3.883","97.3","349.6","380","99.9","95.9","100","3094","0.9","63.5","65.9","AUL","2","0","2","0","0","0","0","0","2","0","0","1","15.657","3.218","1.178","","","","","","","","","","","","","","-17.4","","","","","","","","","","","22.919","44.483","25_2021","","","","","36.425","3.622","","","AUS","34","504","90","448"
"Austria","AUT","2021-06-21","6","21","2021","538","Austria","Europe","8901064","955","18","2021-06-21","645532","10417","9.251","10399","0.002","Europe & Central Asia","1.453","107.79","","55.687","8.841","726772","953036","16.375","-28555242263.425","107.128","21.498","14.298","17.466","0.031","81.644","","33.705","","10","27.75","0.131","0.258","1","0.006","2.16","1.708","2.803","0.78","2.06","0.045","0","-0.359","","","0","0.738","1","4","4","","774","1664","774","0.001","2","","","0","0.757","0.107","0.415","0.126","3.722","99.3","58.5","4.173","73.2","523","760","99.9","93.9","100","3840","0.9","46.6","42.3","AUS","0","0","0","0","0","0","0","0","0","0","0","1","19.001","2.179","4.674","","","","","","","","","","","","","","-40.6","","","","","","","","","","","7.583","97.826","25_2021","","","","","1178.324","7.073","","","AUT","62","476","83","455"
"Azerbaijan","AZE","2021-06-21","6","21","2021","538","Azerbaijan","Europe","10139175","322","9","2021-06-21","335493","4962","8.51","4953","0.002","Europe & Central Asia","-0.1","91.673","","14.21","9.94","256083","359715","14.639","1402998000","120.234","22.996","23.37","2.709","17.816","72.693","50.612","7.371","26.915","-7","","0.152","0.278","2","0.033","-0.764","-0.599","-1.404","0.508","-0.974","0.905","0.125","-0.619","15.28","80.077","0","0.687","0","1","1","","1857","1796","1796","0.001","","","","0","0.06","0.205","0.49","0.188","0.694","2.9","34.2","2.077","45","340.2","470","99.8","65.6","89.3","238","0.8","17.9","25.5","AZE","10","3","7","0","1","2","2","1","3","0","1","0","6.195","2.297","4.789","","","","","","","","","","","","","","","","","","","","","","","","","12.489","32.565","25_2021","","","","","499.207","6.215","","","AZE","76","462","104","434"
"Burundi","BDI","2021-06-21","6","21","2021","538","Burundi","Africa","","0","0","2021-06-21","5226","8","2.197","8","0","Sub-Saharan Africa","-1.42","39.21","","0.762","11.175","110024","141082","","983747.125","435.178","","45.502","2.566","0","60.898","","","","-1","38.65","0.258","0.501","0","0","-1.471","-2.441","-0.139","0.268","-2.408","0.946","0","1.997","55.569","","0","0.37","0","","","70","70","70","70","0.014","","","","0","0.052","0.295","0.516","0.328","1.664","28.4","22.8","2.431","11.4","2.6","80","61.6","27.4","50.5","15","0.4","8.9","28.4","BUI","21","12","9","2","2","3","3","4","2","3","2","1","2.247","2.414","6.076","","","","","","","","","","","","","","","","","","","","","","","","","20.42","100.046","25_2021","","","","","0.716","0.54","","","BDI","27","511","",""
"Belgium","BEL","2021-06-21","6","21","2021","538","Belgium","Europe","11522440","2951","41","2021-06-21","1079701","25140","10.132","25099","0.002","Europe & Central Asia","1.172","165.418","","51.246","11.427","937917","1209059","16.428","-42501691432.006","377.38","26.969","17.055","12.284","0","81.493","","34.779","","8","25.25","0.492","0.955","1","0.01","2.492","2.237","2.472","0.9","2.583","0.045","0.5","-1.312","","","0","0.738","1","4","","1603","","1542","1542","0.001","","","","0","0.792","0.555","0.213","0.567","3.88","99","61","4.279","62.5","301.1","620","99.9","92.9","99.5","3926","0.9","60.5","47.3","BEL","2","0","2","0","0","0","2","0","0","0","0","1","18.789","2.436","5.933","","","","","","","","","","","","","","-24.2","","","","","","","","","","","10.88","63.898","25_2021","","","","","2200.042","7.697","","","BEL","55","483","76","462"
"Benin","BEN","2021-06-21","6","21","2021","538","Benin","Africa","","0","0","2021-06-21","8140","103","4.644","103","0","Sub-Saharan Africa","-0.566","61.845","","3.161","11.485","158294","215381","","194073683.197","101.854","","42.448","2.256","0.097","61.174","","","","7","45.867","0.778","0.668","0","0","-0.283","0.537","-0.143","0.878","0.063","0.385","0","-0.647","31.991","","0","0.741","0","3","","","360","1145","360","0.003","","","","0","0.605","0.787","0.554","0.622","2.24","9","28.8","2.791","24.2","15.3","50","32.9","30.8","13.9","17","0.5","5.6","34.1","BEN","10","6","4","0","0","1","0","3","2","2","2","1","3.254","2.441","4.624","","","","","","","","","","","","","","4.2","","","","","","","","","","","28.661","83.224","25_2021","","","","","8.968","2.299","","","BEN","20","518","97","441"
"Caribbean Netherlands","BES","2021-06-21","6","21","2021","538","Caribbean Netherlands","America","","0","0","2021-06-21","1633","17","2.89","17","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","","","","","BES","111","427","363","175"
"Burkina Faso","BFA","2021-06-21","6","21","2021","538","Burkina Faso","Africa","","0","0","2021-06-21","13468","167","5.124","167","0","Sub-Saharan Africa","-0.578","59.744","","2.132","19.752","186791","288625","11.929","268414907.946","72.191","12.816","44.948","3.892","0","60.768","2.186","","2.287","6","42.6","0.442","0.884","0","0","1.252","1.425","-0.76","0.63","2.753","0.449","0.75","-1.217","32.13","","0","","0","3","3","","256","256","256","0.004","","","","0","0.541","0.738","0.58","0.704","2.67","1","30.1","3.106","33.3","4.7","40","34.6","30.1","22.5","46","0.4","5.6","38","BFO","16","9","7","0","1","3","0","3","3","3","3","1","2.407","2.983","4.279","","","","","","","","","","","","","","19.4","","","","","","","","","","","29.398","58.156","25_2021","","","","","8.455","2.247","","","BFA","13","525","27","511"
"Bangladesh","BGD","2021-06-21","6","21","2021","538","Bangladesh","Asia","","0","0","2021-06-21","851668","13548","9.514","13548","0","South Asia","-0.748","38.245","","4.441","161.356","4204605","4118771","15.605","2421626238.437","1239.579","15.118","27.706","0.884","0.017","72.052","0.951","","40.376","-6","35.114","0.189","0.373","0","0","1.53","-1.13","-2.096","0.75","-0.758","0.891","0.143","1.886","12.927","82.056","0","-0.997","1","3","3","","1074","1389","1074","0.001","","","","0","0.144","0.045","0.209","0.223","2.838","1.4","35","3.894","50.9","47.2","80","72.9","47.6","46.9","16","0.6","14.7","23.1","BNG","11","7","4","0","2","2","1","3","0","2","1","0","5.158","5.084","7.123","","","","","","","","","","","","","","4.8","","","","","","","","","","","24.9","182.898","25_2021","","","","","83.963","4.442","","","BGD","20","518","41","497"
"Bulgaria","BGR","2021-06-21","6","21","2021","538","Bulgaria","Europe","","0","0","2021-06-21","421032","17990","9.798","17990","0","Europe & Central Asia","0.272","129.134","","22.181","7.025","595668","881156","13.838","1222580000","64.711","18.113","14.595","1.428","0.008","74.815","","25.189","","9","33.913","0.298","0.515","2","0.15","0.523","0.768","1.165","0.861","0.207","0.666","0","-0.589","19.44","","1","0.242","0","5","","","605","430","430","0.002","","","","0","0.633","0.402","0.597","0.299","2.416","87","45.6","2.741","53.3","399.9","680","98.4","77.2","86","798","0.8","41","21.7","BUL","2","1","1","0","0","0","1","1","0","0","0","1","21.022","1.949","4.17","","","","","","","","","","","","","","-18.4","","","","","","","","","","","11.572","55.165","25_2021","","","","","2560.841","7.848","","","BGR","13","525","34","504"
"Bahrain","BHR","2021-06-21","6","21","2021","538","Bahrain","Asia","1701583","4161","85","2021-06-21","262892","1306","7.175","1221","0.091","Middle East & North Africa","0.18","151.405","","46.242","1.569","20433","17635","15.587","111170212.766","2017.274","","19.254","51.127","2.013","77.032","","","","-10","48","0.605","0.895","0","0","-1.704","-1.537","1.12","0.68","-0.919","0.521","0","1.605","33.5","","0","-0.78","0","","","","","994","994","0.001","1","","","0","0.036","0.502","0.553","0.551","0.494","100","39.4","3.345","45.8","92.2","200","94.9","72","100","1145","0.8","27.7","43.2","BAH","9","3","6","0","1","3","2","0","3","0","0","0","2.426","0.451","7.61","","","","","","","","","","","","","","-18.2","","","","","","","","","","","28.269","12.798","25_2021","","","","","832.144","6.725","","","BHR","62","476","139","399"
"Bahamas","BHS","2021-06-21","6","21","2021","538","Bahamas","America","","0","0","2021-06-21","12364","243","5.497","243","0","Latin America & Caribbean","0.539","77.35","","35.501","0.386","12222","15764","13.995","491404689.23","38.525","","22.485","15.284","0","73.554","","","","","44.075","0.265","0.48","0","0","","","","","","","","","","","0","-0.875","0","4","4","","","780","780","0.001","","","","0","","0.423","0.681","","","100","30.6","3.336","21.8","226.3","290","99.9","66.4","92","716","0.8","7.9","30.9","","","","","","","","","","","","","0","7.257","-0.953","3.651","","","","","","","","","","","","","","-25.2","","","","","","","","","","","25.626","115.659","25_2021","","","","","630.121","6.447","","","BHS","20","518","48","490"
"Bosnia & Herzegovina","BIH","2021-06-21","6","21","2021","538","Bosnia & Herzegovina","Europe","","0","0","2021-06-21","204814","9630","9.173","9630","0","Europe & Central Asia","-0.619","99.224","","14.42","3.324","232358","315115","","594804957.645","64.92","","14.766","0.913","0","77.128","40.163","38.625","17.417","","39.333","0.63","0.847","0","0","0.958","0.59","1.091","0.82","1.093","0.792","0","1.018","","","0","0.516","0","3","","","940","964","940","0.001","","","","0","0.373","0.63","0.685","0.681","2.922","59.16","42.8","2.812","41.7","188.6","350","97","72.2","94.8","795","0.8","38.3","51.8","BOS","4","2","2","0","0","1","2","1","0","0","0","1","16.471","1.201","4.173","","","","","","","","","","","","","","-18.2","","","","","","","","","","","11.183","85.867","25_2021","","","","","2897.174","7.972","","","BIH","6","532","27","511"
"Belarus","BLR","2021-06-21","6","21","2021","538","Belarus","Europe","9449321","5490","75","2021-06-21","411153","3053","8.024","2978","0.02","Europe & Central Asia","-0.301","139.394","21.4","18.885","9.483","458688","949159","14.831","1426500000","46.72","21.139","16.866","11.404","0.513","74.129","49.988","31.126","54.081","-7","23.675","0.37","0.611","0","0","-0.782","-0.578","1.923","0.661","-0.916","0.281","1","-0.841","35.224","56.351","1","-0.627","0","3","","1359","","1359","1359","0.001","","","","0","0.109","0.322","0.612","0.372","0.358","100","35.3","3.137","28.9","407","1100","99.6","79","94.3","707","0.8","40.6","46.6","BLR","5","3","2","0","1","2","1","1","0","0","0","0","14.845","2.25","3.844","","","","","","","","","","","","","","-17.6","","","","","","","","","","","7.43","48.759","25_2021","","","","","321.928","5.777","","","BLR","76","462","104","434"
"Belize","BLZ","2021-06-21","6","21","2021","538","Belize","America","","0","0","2021-06-21","13039","329","5.799","329","0","Latin America & Caribbean","-0.594","115.71","","7.119","0.383","9299","8842","14.076","122041646.955","16.794","","30.28","14.991","0.572","74.365","","0.057","","","","0.635","0.791","2","0.174","","","","","","","","","","","0","-1.029","0","3","3","","","264","264","0.004","","","","0","","0.702","0.581","","","25","31.8","3.496","30.4","82.8","130","94.2","55.7","87.2","359","0.7","9.7","25.5","","","","","","","","","","","","","0","4.736","-0.96","2.821","","","","","","","","","","","","","","-17.4","","","","","","","","","","","26.104","158.615","25_2021","","","","","858.849","6.757","","","BLZ","20","518","160","378"
"Bermuda","BMU","2021-06-21","6","21","2021","538","Bermuda","America","","0","0","2021-06-21","2504","33","3.526","33","0","North America","1.388","","","","0.064","","","","95689121.5","1183.704","","","30.846","","81.442","","","","","","","","","","","","","","","","","","","","0","","0","","","","","2030","2030","0","","","","0","","","","","","","","3.095","","","","","","","","","","","","","","","","","","","","","","","","","-2.75","7.076","","","","","","","","","","","","","","","","","","","","","","","","","21.333","124.287","25_2021","","","","","516.27","6.249","","","BMU","13","525","286","252"
"Bolivia","BOL","2021-06-21","6","21","2021","538","Bolivia","America","","0","0","2021-06-21","422047","16132","9.689","16132","0","Latin America & Caribbean","-0.322","57.11","30.4","8.656","11.353","377907","438604","15.232","302368781.376","10.48","41.336","31.074","1.333","1.115","70.945","7.319","","76.153","7","43.587","0.672","0.853","1","0.03","0.269","0.082","-0.709","0.648","0.642","0.465","0.2","1.237","8.598","33.474","0","0.061","1","2","2","53","53","53","53","0.019","","","","0","0.42","0.74","0.208","0.743","3.18","42.7","35.8","3.445","33.1","47.3","110","92.5","48.8","52.6","326","0.7","14.9","29.2","BOL","11","5","6","0","0","2","2","2","3","1","1","1","7.192","2.429","2.349","","","","","","","","","","","","","","-22.8","","","","","","","","","","","21.543","98.261","25_2021","","","","","1420.928","7.26","","","BOL","6","532","20","518"
"Brazil","BRA","2021-06-21","6","21","2021","538","Brazil","America","212559409","508962","15424","2021-06-21","17921728","502825","13.128","487401","0.03","Latin America & Caribbean","-0.447","29.398","42.5","14.596","209.469","8051645","10639033","18.442","78162572752.95","25.062","41.946","21.334","0.343","1.239","75.456","30.87","32.292","22.28","8","45.85","0.515","0.984","2","0.511","1.231","0.294","-0.248","0.803","-0.183","0.309","0","2.642","6.648","15.161","1","0.763","0","4","4","935","935","935","935","0.001","","","","0","0.714","0.541","0.605","0.549","2.611","100","59.7","3.271","82.4","185.2","220","92","63.8","86.1","591","0.8","45","67.1","BRA","6","2","4","0","2","1","1","1","1","0","0","1","8.923","5.345","3.221","","","","","","","","","","","","","","-10.8","","","","","","","","","","","25.878","151.667","25_2021","","","","","2400.471","7.784","","","BRA","69","469","83","455"
"Barbados","BRB","2021-06-21","6","21","2021","538","Barbados","America","","0","0","2021-06-21","4045","47","3.871","47","0","Latin America & Caribbean","0.427","80.993","","15.675","0.287","19933","25362","","241596500","666.607","","17.343","12.13","0.052","78.981","","0.008","","","46.5","0","0","0","0","2.279","2.687","2.263","0.804","1.721","0.099","0.25","-2.03","","","0","-0.875","1","4","4","","","1176","1176","0.001","","","","0","0.661","0.142","0.693","","3.675","100","31.9","3.179","19.1","181.1","580","99.6","70.8","96.5","607","0.8","8.5","27.2","","","","","","","","","","","","","0","15.802","-1.25","6.502","","","","","","","","","","","","","","-14.8","","","","","","","","","","","26.543","155.67","25_2021","","","","","163.968","5.106","","","BRB","6","532","314","224"
"Brunei","BRN","2021-06-21","6","21","2021","538","Brunei","Asia","","0","0","2021-06-21","255","3","1.386","3","0","East Asia & Pacific","1.253","93.896","","60.389","0.429","10167","10735","14.026","516202620.63","81.397","","23.026","24.276","8.83","75.585","","","","","","0.618","0.751","0","0","","","","","","","","","","","0","","0","1","1","","","","2000","0","","","","0","","0.542","0.44","","","100","32.6","4.146","30.5","174.6","270","96.1","76.4","96.3","1720","0.9","24.2","33.4","","","","","","","","","","","","","","4.873","-0.846","4.399","","","","","","","","","","","","","","","","","","","","","","","","","27.593","242.976","25_2021","","","","","6.994","2.079","","","BRN","6","532","",""
"Bhutan","BTN","2021-06-21","6","21","2021","538","Bhutan","Asia","","0","0","2021-06-21","1924","1","0.693","1","0","South Asia","0.359","86.712","","11.345","0.754","24889","20399","12.528","2649712.662","19.778","","25.771","6.596","0","71.129","0.893","0.432","2.252","7","40.55","0.72","0.768","1","0.4","0.866","1.943","1.769","0.77","1.938","0.151","0","-0.516","","","0","-0.378","0","1","1","1145","","1329","1145","0.001","","","","0","0.478","0.605","0.379","0.605","3.567","90","40.3","3.253","42.8","38.1","170","57","47.3","62.9","217","0.6","27.9","42","BHU","6","3","3","0","0","0","2","2","0","1","1","0","6.003","-0.282","2.985","","","","","","","","","","","","","","","","","","","","","","","","","7.48","118.409","25_2021","","","","","1.326","0.844","","","BTN","62","476","",""
"Botswana","BWA","2021-06-21","6","21","2021","538","Botswana","Africa","","0","0","2021-06-21","65815","940","6.847","940","0","Sub-Saharan Africa","0.333","79.508","","17.634","2.254","38614","56616","12.443","228718290.832","3.977","","34.113","7.1","0","68.812","3.768","","52.195","8","58.05","0.606","0.773","7","0.088","0.359","0.786","0.644","0.783","2.272","0.238","0","-1.797","10.969","","0","-0.134","0","2","2","","","1687","1687","0.001","","","","0","0.619","0.41","0.599","0.351","3.173","","31.1","3.352","28.2","38.4","180","87.7","51.5","60","521","0.7","13.3","23.9","BOT","3","1","2","0","0","0","1","1","0","0","1","0","4.225","0.813","1.381","","","","","","","","","","","","","","17.2","","","","","","","","","","","22.65","38.691","25_2021","","","","","417.013","6.036","","","BWA","13","525","167","371"
"Central African Republic","CAF","2021-06-21","6","21","2021","538","Central African Republic","Africa","","0","0","2021-06-21","11044","98","4.595","98","0","Sub-Saharan Africa","-1.72","65.864","","0.933","4.666","52386","79480","","18003535.39","7.49","","44.294","1.665","0","52.24","","1.091","","6","","0.641","0.827","0","0","2.424","0.123","-1.976","0.391","-0.684","0.781","0","0.525","","","0","-0.997","0","3","","","291","291","291","0.003","","","","0","0.221","0.83","0.792","0.791","3.043","6.03","27.3","4.919","17.7","4.7","100","36.8","18.6","25.1","4","0.4","12.8","46.6","CEN","23","12","11","2","3","3","2","4","3","3","3","0","2.826","1.54","2.014","","","","","","","","","","","","","","","","","","","","","","","","","25.761","101.281","25_2021","","","","","21.001","3.091","","","CAF","34","504","104","434"
"Canada","CAN","2021-06-21","6","21","2021","538","Canada","America","37742157","6322","143","2021-06-21","1409607","26087","10.169","25944","0.007","North America","1.716","66.113","","48.924","37.058","2927422","3458504","18.308","46542783393.979","4.075","45.934","15.87","21.802","0.894","81.949","","21.47","","10","30.75","0.578","0.806","1","0.043","2.115","3.004","2.218","0.866","2.306","0.034","0","-0.928","41.11","","0","0.763","0","4","4","","","1314","1314","0.001","","251","","1","0.785","0.712","0.696","0.596","3.821","100","75.3","4.229","96.4","253.9","270","99.9","93.8","98.5","3465","0.9","67.7","60.7","CAN","0","0","0","0","0","0","0","0","0","0","0","0","17.232","3.612","1.405","","","","","","","","","","","","","","-27.8","","","","","","","","","","","-6.178","41.143","25_2021","","","","","703.955","6.558","","","CAN","62","476","83","455"
"Switzerland","CHE","2021-06-21","6","21","2021","538","Switzerland","Europe","8606033","1255","21","2021-06-21","698872","10270","9.237","10249","0.002","Europe & Central Asia","2.04","120.033","","68.479","8.514","712212","873428","17.178","-76220614842.564","215.465","16.1","14.911","29.387","0","83.551","","36.699","","10","28.637","0.541","0.785","0","0","2.454","3.063","2.345","0.877","2.752","0.02","0.5","-2.119","49.43","","0","0.763","0","3","","1329","","1329","1329","0.001","","1","","0","0.838","0.531","0.608","0.575","3.708","100","67","4.203","59.1","424.8","470","99.9","95.6","99.9","4939","0.9","62.5","79.3","SWZ","1","0","1","0","0","0","1","0","0","0","0","1","18.623","2.142","5.373","","","","","","","","","","","","","","-17","","","","","","","","","","","6.744","122.383","25_2021","","","","","1206.202","7.096","","","CHE","62","476","76","462"
